Round,Date,Home v Away Teams,Venue,Crowd,Result,Disposals,Goals
10,Sat 22 May 4:05pm,Adelaide v Melbourne,Adelaide Oval,31373,96-95,C. Oliver 38,T. Walker 3; C. Oliver 3
10,Sat 22 May 5:40pm,Fremantle v Sydney,Optus Stadium,29134,86-84,J. Dawson 31,L. Franklin 6
10,Sat 22 May 7:25pm,Western Bulldogs v St Kilda,Marvel Stadium,28720,144-33,J. Macrae 41,A. Naughton 5
10,Sun 23 May 1:10pm,GWS v West Coast,ENGIE Stadium,9046,93-77,C. Ward 29,L. Whitfield 29; J. Finlayson 3
10,Sun 23 May 3:20pm,Collingwood v Port Adelaide,MCG,23415,58-59,T. Adams 29,B. McCreery 3; R. Gray 3
10,Sun 23 May 4:40pm,Essendon v North Melbourne,Marvel Stadium,33121,141-69,D. Parish 36,-; DateHome v Away TeamsVenueCrowdResultDisposalsGoals
11,Fri 28 May 7:50pm,Western Bulldogs v Melbourne,Marvel Stadium,,59-87,J. Macrae 36,J. Bruce 3; T. McDonald 3; B. Fritsch 3
11,Sat 29 May 1:45pm,Collingwood v Geelong,MCG,,51-61,C. Mayne 32,T. Hawkins 3
11,Sat 29 May 2:10pm,Brisbane v GWS,Gabba,22038,129-65,T. Taranto 36,M. Robinson 4
11,Sat 29 May 4:35pm,St Kilda v North Melbourne,Marvel Stadium,,88-68,A. Hall 33,M. Wood 3
11,Sat 29 May 5:40pm,West Coast v Essendon,Optus Stadium,41883,71-87,D. Sheed 43,J. Stringer 3; J. Kennedy 3
11,Sat 29 May 7:40pm,Gold Coast v Hawthorn,SCG,1241,113-76,T. Miller 37,B. King 4; I. Rankine 4
11,Sun 30 May 2:10pm,Richmond v Adelaide,ENGIE Stadium,4236,111-83,B. Keays 31,J. Riewoldt 5
11,Sun 30 May 3:20pm,Sydney v Carlton,SCG,29882,100-78,S. Walsh 33,-
11,Sun 30 May 4:50pm,Port Adelaide v Fremantle,Adelaide Oval,26759,115-69,O. Wines 35,C. Dixon 3; S. Powell-Pepper 3; DateHome v Away TeamsVenueCrowdResultDisposalsGoals
12,Fri 4 Jun 7:50pm,Melbourne v Brisbane,ENGIE Stadium,3772,97-75,J. Lyons 28,Z. Bailey 4
12,Sat 5 Jun 1:45pm,Sydney v St Kilda,SCG,19020,92-83,B. Crouch 38,W. Hayward 3
